Name,VCL,VAP,VSL,BCF,ALH,MAD,head length,head width,arclength,asymmetry,torque,angle
Grade D,15,15,15,0,0,0,5.03,3.21,54.5,,,
Grade C,0,0,0,7,17,40.54,5.03,3.21,54.5,,,
Grade B,45,45,45,4,10.122163,8.77,5.03,3.21,54.5,,,
Grade A,45,45,45,4,10.56,14.95,5.03,3.21,54.5,,,
hyperactivated,180,90,81,6,10,40,5.03,3.21,54.5,,,
Human,45,45,45,4,10.3410815,11.86,5.03,3.21,54.5,,,
Boar,,,50.7,,,,8.23,4.36,39.75,,,
Bull,,,81.4,,,,9.56,4.91,46.61,,,
Possum,,,150.9,,,,5.1,2.73,93.4,,,
Ram,,,93.9,,,,8.2,4.25,46.5,,,
Mouse,205.26,128.54,77.4,30.96,47.12,36,8.27,3.65,125,,,
Horse,,,,,,,6.41,3,53.6,,,
Rabbit,73.9,47.8,38.9,5,2.2,,8.33,4.81,49.51,,,
African Cat Fish,108.12,83.34,73.44,13.44,5.78,,,,,,,
Callithrix jacchus,132.85,113.95,108.35,2.8,5.8,27.2,,,,,,
Rat A,83.81,51.77,39.97,17.05,5.4,,,,,,,
Rat B,71.92,51.61,40.07,12.01,5.71,,,,,,,
Rat on drug,342.2,163.7,98.5,24.4,23.2,,,,,,,
Turkey,90.9,44,25,9,,81.1,,,,,,
Hamster,262,211,188,19.4,13.4,,,,,,,
Bull,142.7,100,91.5,21.6,5.1,,,,,,,
Yorkshire Boar,109.92,59,35.9,5.8,7.2,,,,,,,
pig,186.5,94.8,50.5,,,,,,,,,
donkey,93.9,58.5,40.3,12.2,3.65,,,,,,,
gazellen G1,127.8,53,41.3,1.51,31.5,,,,,,,
G2,87.9,87.3,23,0.02,0.15,,,,,,,
G3,160,158.9,22,0.03,0.2,,,,,,,
G4,61,51.9,4.6,0.08,0.63,,,,,,,
Rabbit,87.45,45.26,33.77,24.62,4.18,,,,,,,
Sperm Whale,316.2,259.1,239.7,33.1,9.7,,,,,,,
